"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"OTU"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"	"OTU_r"
"5456"	"k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__;g__"	"Archaea"	"Aenigmarchaeota"	"Aenigmarchaeia"	"Aenigmarchaeales"	"AenigmarchaealesOR"	"AenigmarchaealesOR"	"Aenigmarchaeota"	"otu_ASV_4875"	0.431287243127462	0	0	0	0	0	0	0
"9057"	"k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Candidatus Aenigmarchaeum;g__"	"Archaea"	"Aenigmarchaeota"	"Aenigmarchaeia"	"Aenigmarchaeales"	"Cand. Aenigmarchaeum"	"Cand. AenigmarchaeumFA"	"Aenigmarchaeota"	"otu_ASV_8179"	0.431287243127462	0	0	0	0	0	0	0
"10283"	"k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Candidatus Aenigmarchaeum;g__"	"Archaea"	"Aenigmarchaeota"	"Aenigmarchaeia"	"Aenigmarchaeales"	"Cand. Aenigmarchaeum"	"Cand. AenigmarchaeumFA"	"Aenigmarchaeota"	"otu_ASV_9303"	0.431287243127462	0	0	0	0	0	0	0
"2751"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_ASV_2393"	0.431287243127462	0.614094397665245	0.614094397665245	0.614094397665245	0.614094397665245	0	0.614094397665245	0.546014279000545
"8042"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_ASV_7245"	0.431287243127462	0.614094397665245	0.614094397665245	0.614094397665245	0.614094397665245	0	0.614094397665245	0.448430718158396
"8363"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_ASV_7539"	0.431287243127462	0.614094397665245	0.614094397665245	0.614094397665245	0.614094397665245	0	0.614094397665245	0.572863645835672
"10212"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_ASV_9237"	0.431287243127462	0.614094397665245	0.614094397665245	0.614094397665245	0.614094397665245	0	0.614094397665245	0.485495188927347
"10407"	"k__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus Altiarchaeum"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"	"Cand. Altiarchaeum"	"Altiarchaeota"	"otu_ASV_9415"	0.431287243127462	0.614094397665245	0.614094397665245	0.614094397665245	0.614094397665245	0	0.614094397665245	0
"1986"	"k__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"Asgardarchaeota"	"otu_ASV_1693"	0.431287243127462	0.330447810789789	0.330447810789789	0.330447810789789	0.330447810789789	0.330447810789789	0.330447810789789	0
"5787"	"k__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__"	"Archaea"	"Asgardarchaeota"	"Lokiarchaeia"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"LokiarchaeiaCL"	"Asgardarchaeota"	"otu_ASV_5175"	0.431287243127462	0.330447810789789	0.330447810789789	0.330447810789789	0.330447810789789	0.330447810789789	0.330447810789789	0.391661281039758
